,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
407,Census Tract 105.01,0.3909,155000.0,310700.0,17,007,010501,Census Tract 105.01,0.0,16.0,4.0,15.0,4988.890016049892,0.45967924708072894,0.0,0.34875717017208413,0.08240917782026769,0.025430210325047803,0.016634799235181644,0.9715189873417721
409,Census Tract 105.02,0.4599,83590.0,212500.0,17,007,010502,Census Tract 105.02,0.0,8.0,28.0,3.0,15886.525732278096,0.4825173268313873,0.8800426325110506,0.19921067468520956,0.1308024807367036,0.023115955647434693,0.031417624521072794,0.9425551470588235
411,Census Tract 6704,0.4516,28990.0,96300.0,17,031,670400,Census Tract 6704,0.0,14.0,1.0,1.0,2701.9489729486304,0.5031019440806249,0.0,0.057885410513880686,0.15711754282339044,0.08092144122858831,0.26166568222090963,0.7946175637393768
412,Census Tract 6705,0.4323,27986.0,91100.0,17,031,670500,Census Tract 6705,0.0,30.0,9.0,0.0,4140.68991909508,0.5018852127536331,0.0,0.024364406779661018,0.2086864406779661,0.10699152542372882,0.2664509169363538,0.8076923076923077
413,Census Tract 6706,0.5458,21452.0,87700.0,17,031,670600,Census Tract 6706,0.0,14.0,0.0,0.0,4139.853172767138,0.5032663783960186,0.0,0.046296296296296294,0.17901234567901234,0.09876543209876543,0.42592592592592593,0.6482213438735178
414,Census Tract 6707,0.358,32266.0,96000.0,17,031,670700,Census Tract 6707,0.0,12.0,4.0,0.0,3221.9701658736662,0.5311586683960224,8.89479498645209,0.046902654867256637,0.19911504424778761,0.0831858407079646,0.423992673992674,0.6198019801980198
415,Census Tract 6708,0.4065,24158.0,133900.0,17,031,670800,Census Tract 6708,0.0,8.0,6.0,0.0,1549.834321361594,0.499816091954023,0.0,0.1007905138339921,0.18675889328063242,0.07509881422924901,0.23221343873517786,0.7609046849757674
416,Census Tract 6709,0.4641,32708.0,125300.0,17,031,670900,Census Tract 6709,0.0,18.0,1.0,0.0,363.911691992716,0.4644510468791639,4.852806516418079,0.1286462228870606,0.18922961854899029,0.07928197456993269,0.3667180277349769,0.7652582159624414
418,Census Tract 6712,0.423,36397.0,108300.0,17,031,671200,Census Tract 6712,0.0,12.0,3.0,0.0,787.4882803410942,0.4879214980909609,0.0,0.08147429679922405,0.1658583899127061,0.0892337536372454,0.20271580989330748,0.6981566820276498
419,Census Tract 6713,0.4424,24750.0,72800.0,17,031,671300,Census Tract 6713,0.0,16.0,2.0,0.0,1335.7818262472301,0.5002876737249004,0.0,0.02005730659025788,0.1667621776504298,0.11977077363896849,0.26582278481012656,0.8455971049457177
420,Census Tract 6714,0.4944,23330.0,151300.0,17,031,671400,Census Tract 6714,0.0,20.0,3.0,1.0,996.9616630652199,0.42322577477774337,0.0,0.025488530161427356,0.18096856414613424,0.05437553101104503,0.5828377230246389,0.7982832618025751
421,Census Tract 6715,0.4805,32470.0,96900.0,17,031,671500,Census Tract 6715,0.0,30.0,14.0,0.0,1795.8133583766191,0.49716201852999276,0.0,0.09957627118644068,0.24067796610169492,0.11906779661016949,0.23559322033898306,0.7411764705882353
422,Census Tract 6716,0.4772,19566.0,107800.0,17,031,671600,Census Tract 6716,0.0,18.0,2.0,1.0,18068.138819236505,0.47156341910080696,0.0,0.010632014176018901,0.31482575310100414,0.18901358535144713,0.3154164205552274,0.6847492323439099
423,Census Tract 6718,0.5897,29643.0,85200.0,17,031,671800,Census Tract 6718,0.0,6.0,1.0,0.0,954.4335563046326,0.4962516073068852,0.0,0.05344129554655871,0.16356275303643725,0.08906882591093117,0.41862348178137654,0.8059701492537313
424,Census Tract 6719,0.3372,49653.0,94600.0,17,031,671900,Census Tract 6719,0.0,16.0,6.0,0.0,1218.1591996594002,0.481915317502591,0.0,0.0994718309859155,0.20950704225352113,0.02112676056338028,0.06778169014084508,0.770618556701031
425,Census Tract 6720,0.4742,36548.0,107400.0,17,031,672000,Census Tract 6720,0.0,40.0,4.0,0.0,14734.046519263078,0.48842697355786746,0.0,0.11104910714285714,0.12388392857142858,0.111328125,0.15039281705948374,0.7962529274004684
426,Census Tract 6805,0.4621,23910.0,84400.0,17,031,680500,Census Tract 6805,0.0,16.0,2.0,1.0,1218.6841273083912,0.4910466317851485,0.0,0.022857142857142857,0.14,0.09047619047619047,0.20285714285714285,0.79073756432247
428,Census Tract 6809,0.4911,19167.0,154400.0,17,031,680900,Census Tract 6809,0.0,30.0,12.0,1.0,14376.409121144885,0.4617593483718894,0.0,0.055471811878203194,0.15797407295749172,0.09285498944829665,0.45584218512898333,0.8490652074783401
429,Census Tract 6810,0.616,18006.0,95900.0,17,031,681000,Census Tract 6810,0.0,22.0,4.0,2.0,1523.4583616230302,0.4795497823701971,0.0,0.08149111400086692,0.15864759427828348,0.08842652795838751,0.4616384915474642,0.6914893617021277
430,Census Tract 6811,0.5806,22762.0,65500.0,17,031,681100,Census Tract 6811,0.0,34.0,2.0,0.0,4403.380822061529,0.494972981670116,0.0,0.059218815623687526,0.23183536329273416,0.09533809323813523,0.5065098698026039,0.5703022339027596
431,Census Tract 6812,0.5357,17058.0,84600.0,17,031,681200,Census Tract 6812,0.0,32.0,3.0,0.0,5562.783754446179,0.4495172285504495,4.293162163023893,0.038154392191659274,0.24800354924578527,0.12999112688553682,0.47373107747105964,0.6429738562091504
432,Census Tract 6813,0.4788,16310.0,99200.0,17,031,681300,Census Tract 6813,0.0,30.0,19.0,0.0,11993.778705610132,0.4886647880474322,0.0,0.04462875197472354,0.23499210110584517,0.11255924170616113,0.5,0.6009036144578314
433,Census Tract 6814,0.39,45128.0,87100.0,17,031,681400,Census Tract 6814,0.0,30.0,7.0,1.0,5062.33059417724,0.4832320488774204,0.0,0.05539479123604795,0.16577097974369573,0.054981397271599834,0.2343943778420835,0.5865314989138306
